Aba | ♂ | Török eredetű régi magyar személynév | apa | „rendkívül ritka” → „nagyon ritka”
Abád | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Abbás | ♂ | Latin eredetű | apa ; apát | „néhány előfordulás” → „néhány előfordulás”
Abdiás | ♂ | Héber eredetű bibliai név | Isten szolgája | „néhány előfordulás” → „néhány előfordulás”
Abdon | ♂ | Héber eredetű bibliai név | kis szolga | „néhány előfordulás” → „néhány előfordulás”
Abdullah | ♂ | arab eredetű | isten szolgája | „rendkívül ritka” → „rendkívül ritka”
Ábel | ♂ | Bibliai név | fiú | „közepesen gyakori” → „közepesen gyakori”
Abelárd | ♂ | Francia ( provanszál ) eredetű | méhész | „néhány előfordulás” → „néhány előfordulás”
Ábner | ♂ | Héber eredetű bibliai név | az atya fény ; szövétnek | „néhány előfordulás” → „rendkívül ritka”
Abod | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Abony | ♂ | Régi magyar személynév | | „néhány előfordulás” → „rendkívül ritka”
Abos | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Abosa | ♂ | Régi magyar személynév . ; Az Abos ‣ további képzése | | „néhány előfordulás” → „néhány előfordulás”
Ábrahám | ♂ | Héber eredetű név | a sokaság atyja ( Biblia ) | „nagyon ritka” → „elég ritka”
Ábrám | ♂ | Héber eredetű bibliai név | fölséges atya | „néhány előfordulás” → „néhány előfordulás”
Ábrán | ♂ | Az Ábrahám ‣ , Ábrám ‣ régi magyar alakvált . | | „néhány előfordulás” → „néhány előfordulás”
Ábris | ♂ | Az Ábrahám ‣ név magyar kicsinyítőképzős alakjából | | „nagyon ritka” → „nagyon ritka”
Absa | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Absolon | ♂ | Héber eredetű bibliai név | a béke atyja ; az atya jólét | „néhány előfordulás” → „néhány előfordulás”
Acél | ♂ | Régi magyar személynév felújítása | acélverő ; ( fegyver ) kovács | „néhány előfordulás” → „rendkívül ritka”
Achilles | ♂ | Az Achillesz ‣ név régi magyar formája | | „nagyon ritka” → „nagyon ritka”
Achillesz | ♂ | Az Achilleusz görög mitológiai név latin formájából szárm . | a kígyó fia | „rendkívül ritka” → „nagyon ritka”
Acsád | ♂ | Régi magyar név | rokon | „néhány előfordulás” → „rendkívül ritka”
Adalbert | ♂ | Germán eredetű név | nemes + fényes ; híres | „nagyon ritka” → „néhány előfordulás”
Ádám | ♂ | Héber eredetű bibliai név | ember | „nagyon gyakori” → „első tízben”
Ádel | ♂ | Héber eredetű német név | Isten örök ; nemes | „néhány előfordulás” → „rendkívül ritka”
Adelmár | ♂ | Germán eredetű név | nemes + híres | „néhány előfordulás” → „néhány előfordulás”
Adeodát | ♂ | Latin eredetű | Istentől adott | „néhány előfordulás” → „néhány előfordulás”
Ádér | ♂ | Ír eredetű név | tölgyfa ; tölgyfa lakója | „néhány előfordulás” → „néhány előfordulás”
Ádin | ♂ | -- | | „néhány előfordulás” → „nagyon ritka”
Adolár | ♂ | Germán eredetű név | nemes + sas | „néhány előfordulás” → „néhány előfordulás”
Adolf | ♂ | Germán eredetű név | nemes + farkas | „nagyon ritka” → „nagyon ritka”
Adonisz | ♂ | Görög mitológiai név | úr | „néhány előfordulás” → „rendkívül ritka”
Adony | ♂ | Vitatott eredetű régi magyar név | | „néhány előfordulás” → „néhány előfordulás”
Adorján | ♂ | Adrián ‣ régi magyar alakváltozata | | „elég ritka” → „nagyon ritka”
Adrián | ♂ | A latin Hadrianus névből származik | Hadria városából való ( férfi ) | „közepesen gyakori” → „közepesen gyakori”
Adriánó | ♂ | Adrián ‣ olasz alakváltozata | Hadria városából való ( férfi ) | „néhány előfordulás” → „nagyon ritka”
Agád | ♂ | Bizonytalan eredetű régi magyar név | | „néhány előfordulás” → „néhány előfordulás”
